V1,V6,V10,V12,V13,V14,V15,Class
47,780.0,20,447.0,2,-1.0,0,1
40,11.0,5,83.0,3,-1.0,0,1
46,167.0,19,155.0,3,-1.0,0,1
26,518.0,7,189.0,3,-1.0,0,1
73,250.0,31,245.0,4,-1.0,0,1
59,0.0,22,460.0,1,-1.0,0,1
29,874.0,15,68.0,5,-1.0,0,1
54,11.0,14,452.0,2,-1.0,0,1
49,358.0,13,176.0,3,-1.0,0,1
47,0.0,14,122.0,2,-1.0,0,1
27,941.0,11,124.0,1,-1.0,0,1
25,-282.0,25,198.0,1,-1.0,0,1
36,532.0,14,603.0,1,-1.0,0,1
33,644.0,11,99.0,2,-1.0,0,1
25,-392.0,7,346.0,1,-1.0,0,1
52,4711.0,28,228.0,2,-1.0,0,1
41,692.0,30,249.0,3,245.0,3,1
34,3773.0,21,287.0,1,-1.0,0,1
56,0.0,15,103.0,1,-1.0,0,1
29,102.0,12,154.0,1,182.0,5,1
35,7218.0,14,224.0,3,-1.0,0,1
60,872.0,28,37.0,5,-1.0,0,1
58,745.0,20,23.0,1,-1.0,0,1
48,275.0,5,34.0,1,-1.0,0,1
31,603.0,17,185.0,2,319.0,2,1
28,20.0,30,455.0,2,-1.0,0,1
23,292.0,13,437.0,2,-1.0,0,1
48,3766.0,6,206.0,2,-1.0,0,1
34,107.0,18,110.0,2,-1.0,0,1
40,251.0,30,153.0,6,-1.0,0,1
30,855.0,3,235.0,2,-1.0,0,1
59,0.0,8,425.0,6,-1.0,0,1
24,1611.0,28,418.0,1,-1.0,0,1
34,-200.0,25,248.0,5,-1.0,0,1
32,545.0,18,192.0,1,180.0,1,1
55,505.0,17,58.0,1,316.0,1,1
36,1257.0,8,108.0,9,101.0,1,1
40,518.0,17,84.0,1,-1.0,0,1
29,262.0,9,134.0,1,-1.0,0,1
46,374.0,4,23.0,5,7.0,2,1
27,3342.0,30,761.0,2,330.0,4,1
39,6.0,19,286.0,2,-1.0,0,1
39,158.0,6,354.0,2,-1.0,0,1
42,3780.0,19,104.0,3,-1.0,0,1
35,935.0,28,259.0,2,-1.0,0,1
53,453.0,17,148.0,2,-1.0,0,1
37,466.0,11,92.0,2,-1.0,0,1
88,648.0,3,318.0,1,-1.0,0,1
36,0.0,25,106.0,1,205.0,2,1
32,390.0,23,85.0,1,-1.0,0,1
32,144.0,19,260.0,11,-1.0,0,1
39,4619.0,21,104.0,1,-1.0,0,1
29,55.0,10,235.0,1,-1.0,0,1
35,299.0,19,1059.0,5,-1.0,0,1
37,442.0,20,51.0,4,349.0,1,1
44,2887.0,13,182.0,1,-1.0,0,1
35,0.0,2,184.0,1,-1.0,0,1
35,2518.0,9,400.0,1,-1.0,0,1
28,158.0,24,77.0,1,-1.0,0,1
64,1977.0,24,160.0,2,-1.0,0,1
46,-119.0,22,151.0,3,-1.0,0,1
38,0.0,12,133.0,1,-1.0,0,1
51,734.0,5,17.0,1,-1.0,0,1
31,438.0,12,130.0,2,-1.0,0,1
56,0.0,13,112.0,4,-1.0,0,1
42,717.0,4,152.0,6,-1.0,0,1
39,-53.0,28,189.0,3,-1.0,0,1
31,39.0,15,123.0,5,-1.0,0,1
48,308.0,14,125.0,5,-1.0,0,1
45,183.0,29,27.0,4,-1.0,0,1
33,-342.0,28,528.0,2,-1.0,0,1
47,-598.0,28,239.0,4,-1.0,0,1
32,518.0,18,34.0,7,-1.0,0,1
51,176.0,1,8.0,1,687.0,2,1
35,348.0,15,323.0,3,-1.0,0,1
35,876.0,20,318.0,1,-1.0,0,1
45,766.0,25,59.0,15,-1.0,0,1
39,-455.0,23,542.0,2,-1.0,0,1
53,8112.0,15,75.0,1,146.0,1,1
45,0.0,9,74.0,1,-1.0,0,1
37,744.0,21,161.0,3,-1.0,0,1
28,1925.0,20,147.0,1,90.0,1,1
39,2985.0,14,91.0,2,-1.0,0,1
54,24.0,28,404.0,1,-1.0,0,1
37,11391.0,21,103.0,1,-1.0,0,1
48,1567.0,20,77.0,3,-1.0,0,1
32,3829.0,20,267.0,1,-1.0,0,1
32,390.0,5,100.0,1,243.0,1,1
34,581.0,21,176.0,4,-1.0,0,1
48,252.0,7,261.0,5,-1.0,0,1
40,1584.0,21,661.0,1,-1.0,0,1
37,1795.0,5,511.0,1,-1.0,0,1
27,15.0,21,177.0,1,-1.0,0,1
39,640.0,13,220.0,4,370.0,2,1
38,571.0,4,275.0,3,-1.0,0,1
36,0.0,14,636.0,6,-1.0,0,1
51,383.0,20,164.0,1,-1.0,0,1
38,1610.0,17,76.0,6,-1.0,0,1
41,0.0,2,20.0,1,-1.0,0,1
35,620.0,17,57.0,2,-1.0,0,1
43,3872.0,9,225.0,2,-1.0,0,1
37,449.0,29,59.0,4,-1.0,0,1
35,-84.0,9,19.0,11,-1.0,0,1
31,0.0,21,243.0,2,-1.0,0,1
34,865.0,21,51.0,7,-1.0,0,1
39,1062.0,20,10.0,4,-1.0,0,1
31,297.0,16,357.0,2,-1.0,0,1
53,256.0,2,202.0,1,-1.0,0,1
47,1493.0,31,89.0,5,-1.0,0,1
35,244.0,21,54.0,10,-1.0,0,1
34,2583.0,28,64.0,1,95.0,2,1
47,0.0,14,81.0,2,-1.0,0,1
49,229.0,8,219.0,2,-1.0,0,1
35,0.0,9,115.0,4,-1.0,0,1
39,157.0,13,290.0,1,-1.0,0,1
51,437.0,6,109.0,1,-1.0,0,1
59,434.0,12,63.0,3,-1.0,0,1
55,1695.0,3,69.0,2,-1.0,0,1
39,0.0,28,93.0,25,-1.0,0,1
48,595.0,24,464.0,1,-1.0,0,1
42,-887.0,2,349.0,4,-1.0,0,1
30,199.0,28,131.0,7,-1.0,0,1
69,473.0,20,333.0,1,-1.0,0,1
50,38.0,9,42.0,1,-1.0,0,1
55,73.0,5,142.0,2,-1.0,0,1
29,370.0,29,119.0,2,251.0,5,1
32,-311.0,18,218.0,2,-1.0,0,1
55,274.0,9,7.0,5,-1.0,0,1
29,115.0,29,61.0,2,-1.0,0,1
48,191.0,17,222.0,1,326.0,1,1
28,36.0,14,158.0,3,-1.0,0,1
60,6684.0,5,173.0,1,-1.0,0,1
30,127.0,18,16.0,6,368.0,1,1
43,54.0,30,62.0,2,-1.0,0,1
57,79.0,1,60.0,1,592.0,2,1
32,-370.0,27,98.0,1,-1.0,0,1
31,162.0,11,0.0,2,-1.0,0,1
36,1198.0,9,278.0,3,-1.0,0,1
34,0.0,24,60.0,1,-1.0,0,1
60,174.0,15,241.0,1,364.0,1,1
41,406.0,9,2462.0,1,-1.0,0,1
34,934.0,18,909.0,3,-1.0,0,1
29,-194.0,7,127.0,1,-1.0,0,1
39,1889.0,29,108.0,2,-1.0,0,1
54,841.0,8,284.0,4,-1.0,0,1
31,0.0,14,215.0,1,-1.0,0,1
45,356.0,11,212.0,2,-1.0,0,1
28,164.0,9,92.0,7,-1.0,0,1
25,669.0,24,367.0,2,-1.0,0,1
37,-196.0,7,207.0,1,-1.0,0,1
39,394.0,29,551.0,2,-1.0,0,1
32,530.0,3,170.0,1,-1.0,0,1
40,-199.0,30,109.0,1,-1.0,0,1
33,968.0,28,95.0,10,-1.0,0,1
41,15302.0,19,121.0,4,-1.0,0,1
39,947.0,8,124.0,2,-1.0,0,1
55,719.0,11,221.0,6,284.0,29,1
40,252.0,15,103.0,6,-1.0,0,1
42,-97.0,3,216.0,4,271.0,5,1
34,0.0,20,150.0,1,-1.0,0,1
33,70.0,21,333.0,3,-1.0,0,1
41,0.0,3,858.0,1,-1.0,0,1
28,1010.0,6,911.0,1,336.0,2,1
27,1414.0,2,95.0,1,-1.0,0,1
32,1568.0,12,161.0,6,-1.0,0,1
45,171.0,12,539.0,1,-1.0,0,1
28,27.0,27,294.0,1,-1.0,0,1
31,2951.0,17,115.0,1,-1.0,0,1
40,0.0,17,728.0,3,-1.0,0,1
51,311.0,14,122.0,2,-1.0,0,1
54,0.0,16,101.0,6,-1.0,0,1
23,250.0,12,166.0,2,-1.0,0,1
43,140.0,18,192.0,7,-1.0,0,1
42,250.0,12,213.0,3,-1.0,0,1
29,-28.0,12,393.0,1,-1.0,0,1
33,716.0,14,234.0,2,-1.0,0,1
26,0.0,27,107.0,2,-1.0,0,1
59,741.0,19,194.0,2,152.0,2,1
60,1210.0,11,231.0,2,-1.0,0,1
36,0.0,17,222.0,3,-1.0,0,1
31,416.0,11,33.0,2,-1.0,0,1
56,1346.0,28,240.0,3,-1.0,0,1
38,1255.0,17,151.0,2,171.0,2,1
59,2443.0,20,8.0,8,-1.0,0,1
48,1600.0,18,448.0,1,-1.0,0,1
30,6683.0,30,180.0,1,-1.0,0,1
37,171.0,7,250.0,3,-1.0,0,1
37,523.0,19,21.0,1,-1.0,0,1
43,991.0,14,111.0,2,-1.0,0,1
36,3254.0,28,300.0,3,-1.0,0,1
43,1625.0,21,56.0,1,-1.0,0,1
53,122.0,27,98.0,1,-1.0,0,1
26,84.0,29,70.0,3,-1.0,0,1
34,1434.0,21,50.0,2,-1.0,0,1
49,1040.0,8,474.0,2,-1.0,0,1
28,-511.0,2,82.0,1,-1.0,0,1
60,5421.0,18,458.0,4,-1.0,0,1
56,334.0,15,127.0,2,-1.0,0,1
38,367.0,20,128.0,2,-1.0,0,1
34,457.0,30,67.0,2,-1.0,0,1
29,26.0,28,45.0,1,-1.0,0,1
31,0.0,29,183.0,3,-1.0,0,1
32,43.0,21,173.0,2,-1.0,0,1
40,60.0,15,460.0,3,352.0,6,1
31,2577.0,13,611.0,2,-1.0,0,1
34,75.0,25,111.0,1,-1.0,0,1
53,321.0,5,123.0,1,-1.0,0,1
31,378.0,23,421.0,2,-1.0,0,1
47,1149.0,15,82.0,2,-1.0,0,1
40,105.0,9,161.0,1,-1.0,0,1
57,818.0,28,208.0,1,-1.0,0,1
45,507.0,21,304.0,2,-1.0,0,1
34,992.0,4,301.0,1,88.0,2,1
47,432.0,13,334.0,2,-1.0,0,1
42,600.0,17,277.0,3,-1.0,0,1
26,97.0,27,382.0,1,-1.0,0,1
31,159.0,23,533.0,1,-1.0,0,1
58,5505.0,23,317.0,4,-1.0,0,1
36,7343.0,17,78.0,1,-1.0,0,1
57,282.0,7,261.0,12,-1.0,0,1
32,415.0,23,76.0,2,-1.0,0,1
59,0.0,17,192.0,1,-1.0,0,1
36,0.0,5,245.0,2,8.0,1,1
28,913.0,27,580.0,2,-1.0,0,1
43,438.0,17,355.0,2,-1.0,0,1
29,1489.0,20,399.0,1,-1.0,0,1
36,396.0,13,67.0,5,-1.0,0,1
40,8259.0,8,254.0,4,-1.0,0,1
28,0.0,27,548.0,1,-1.0,0,1
34,338.0,9,162.0,2,-1.0,0,1
30,451.0,5,173.0,1,274.0,3,1
47,459.0,28,226.0,1,-1.0,0,1
29,22008.0,28,139.0,2,-1.0,0,1
67,1430.0,12,88.0,3,-1.0,0,1
35,113.0,14,318.0,3,-1.0,0,1
56,659.0,2,148.0,1,188.0,3,1
35,3549.0,13,250.0,4,-1.0,0,1
52,5275.0,22,1029.0,3,-1.0,0,1
60,914.0,4,64.0,1,-1.0,0,1
31,540.0,21,227.0,3,-1.0,0,1
49,-849.0,27,197.0,1,-1.0,0,1
43,497.0,13,66.0,1,363.0,22,1
35,160.0,16,304.0,1,-1.0,0,1
45,1179.0,21,172.0,6,-1.0,0,1
32,0.0,19,303.0,3,-1.0,0,1
30,73.0,25,114.0,6,-1.0,0,1
57,7938.0,17,133.0,1,-1.0,0,1
34,10031.0,18,65.0,2,-1.0,0,1
38,658.0,4,328.0,2,-1.0,0,1
30,913.0,19,433.0,2,-1.0,0,1
32,1.0,10,143.0,1,-1.0,0,1
44,-68.0,25,121.0,4,-1.0,0,1
28,447.0,5,217.0,1,-1.0,0,1
51,1093.0,18,18.0,1,-1.0,0,1
40,7313.0,18,241.0,2,182.0,1,1
55,2043.0,18,655.0,1,-1.0,0,1
48,335.0,17,214.0,3,-1.0,0,1
38,67.0,28,74.0,1,239.0,2,1
35,-587.0,26,111.0,1,-1.0,0,1
46,633.0,12,236.0,10,-1.0,0,1
21,-42.0,10,5.0,1,-1.0,0,1
46,196.0,14,29.0,2,-1.0,0,1
52,26.0,13,215.0,1,-1.0,0,1
47,437.0,20,133.0,4,-1.0,0,1
30,33.0,25,396.0,1,-1.0,0,1
32,644.0,21,198.0,1,-1.0,0,1
45,77.0,26,99.0,3,-1.0,0,1
56,177.0,8,1040.0,1,-1.0,0,1
50,112.0,4,70.0,5,85.0,5,1
34,0.0,18,431.0,6,-1.0,0,1
32,-22.0,20,215.0,2,-1.0,0,1
25,137.0,24,281.0,3,-1.0,0,1
50,124.0,14,367.0,2,289.0,19,1
48,2106.0,17,499.0,2,195.0,1,1
40,0.0,29,245.0,3,-1.0,0,1
54,-1089.0,28,105.0,2,-1.0,0,1
24,11.0,27,114.0,4,-1.0,0,1
34,82.0,31,134.0,5,-1.0,0,1
58,226.0,14,306.0,2,-1.0,0,1
32,80.0,19,475.0,2,-1.0,0,1
29,1958.0,18,112.0,4,349.0,1,1
48,418.0,9,102.0,3,-1.0,0,1
33,0.0,18,199.0,1,-1.0,0,1
43,69.0,20,304.0,1,337.0,1,1
41,0.0,5,114.0,2,-1.0,0,1
34,395.0,11,150.0,2,364.0,8,1
31,5345.0,18,260.0,1,-1.0,0,1
49,7.0,17,50.0,1,-1.0,0,1
53,-200.0,6,161.0,1,-1.0,0,1
36,1057.0,5,383.0,2,-1.0,0,1
39,4313.0,18,272.0,2,-1.0,0,1
30,673.0,20,610.0,2,-1.0,0,1
43,0.0,17,110.0,1,-1.0,0,1
64,1370.0,12,174.0,1,-1.0,0,1
56,2395.0,12,150.0,2,-1.0,0,1
54,199.0,21,532.0,1,-1.0,0,1
50,-151.0,18,63.0,2,-1.0,0,1
51,260.0,9,183.0,2,-1.0,0,1
34,-17.0,15,319.0,7,-1.0,0,1
39,263.0,29,160.0,1,199.0,6,1
26,141.0,22,128.0,1,-1.0,0,1
40,-23.0,7,756.0,3,-1.0,0,1
37,0.0,18,77.0,2,-1.0,0,1
46,1000.0,18,96.0,11,-1.0,0,1
30,-97.0,14,255.0,1,356.0,1,1
31,25.0,21,169.0,5,-1.0,0,1
56,264.0,7,639.0,2,280.0,5,1
38,1514.0,21,160.0,3,120.0,3,1
36,53.0,18,64.0,7,-1.0,0,1
40,0.0,8,232.0,1,-1.0,0,1
49,24.0,27,168.0,3,-1.0,0,1
34,3.0,5,16.0,5,-1.0,0,1
35,4959.0,29,91.0,2,-1.0,0,1
54,0.0,29,46.0,1,-1.0,0,1
42,681.0,18,203.0,1,-1.0,0,1
57,485.0,2,79.0,2,187.0,2,1
61,50.0,22,213.0,5,-1.0,0,1
58,999.0,25,188.0,6,-1.0,0,1
49,3570.0,24,62.0,3,202.0,2,1
36,1869.0,21,122.0,2,-1.0,0,1
51,824.0,19,102.0,2,-1.0,0,1
27,662.0,30,47.0,1,-1.0,0,1
33,21.0,2,202.0,2,-1.0,0,1
47,183.0,13,144.0,1,-1.0,0,1
53,269.0,6,347.0,2,-1.0,0,1
30,346.0,3,135.0,1,-1.0,0,1
56,4309.0,9,465.0,6,-1.0,0,1
28,510.0,5,110.0,2,-1.0,0,1
40,0.0,21,43.0,1,185.0,2,1
35,1830.0,15,78.0,4,93.0,2,1
30,1390.0,20,552.0,4,-1.0,0,1
39,-405.0,8,177.0,1,-1.0,0,1
32,483.0,18,35.0,6,-1.0,0,1
37,1372.0,6,129.0,2,-1.0,0,1
32,4885.0,18,400.0,2,-1.0,0,1
57,0.0,30,585.0,1,-1.0,0,1
58,0.0,19,153.0,2,-1.0,0,1
37,88.0,2,608.0,1,-1.0,0,1
36,23.0,18,69.0,2,333.0,2,1
43,641.0,2,251.0,4,-1.0,0,1
36,4708.0,15,104.0,1,-1.0,0,1
26,993.0,8,152.0,1,-1.0,0,1
34,46.0,5,39.0,4,-1.0,0,1
47,-512.0,27,220.0,2,-1.0,0,1
40,369.0,6,79.0,2,-1.0,0,1
33,1388.0,31,158.0,1,202.0,3,1
35,3402.0,14,269.0,1,194.0,2,1
37,29.0,3,269.0,2,-1.0,0,1
26,2770.0,8,141.0,1,-1.0,0,1
33,130.0,25,121.0,8,-1.0,0,1
36,223.0,14,12.0,3,-1.0,0,1
43,-3372.0,29,386.0,2,-1.0,0,1
74,20422.0,12,90.0,2,-1.0,0,1
55,0.0,7,110.0,1,-1.0,0,1
31,-163.0,17,135.0,1,270.0,2,1
45,770.0,7,65.0,2,-1.0,0,1
39,270.0,3,116.0,1,-1.0,0,1
35,-371.0,13,358.0,2,-1.0,0,1
49,112.0,25,62.0,10,-1.0,0,1
20,330.0,20,159.0,2,-1.0,0,1
29,2121.0,16,281.0,1,342.0,2,1
34,16992.0,29,71.0,1,245.0,1,1
44,-73.0,28,80.0,9,-1.0,0,1
38,-1038.0,23,222.0,1,-1.0,0,1
35,3863.0,14,125.0,1,175.0,1,1
31,-13.0,9,260.0,3,-1.0,0,1
28,731.0,5,718.0,13,-1.0,0,1
33,585.0,17,131.0,1,-1.0,0,1
34,184.0,30,87.0,3,-1.0,0,1
29,89.0,22,120.0,1,-1.0,0,1
27,140.0,25,361.0,1,-1.0,0,1
61,5207.0,11,336.0,1,81.0,2,1
39,-475.0,7,168.0,3,301.0,1,1
27,724.0,17,200.0,3,-1.0,0,1
49,2222.0,16,114.0,2,-1.0,0,1
36,-355.0,8,89.0,1,-1.0,0,1
30,33.0,18,36.0,1,-1.0,0,1
36,687.0,21,287.0,3,-1.0,0,1
46,-582.0,5,245.0,4,354.0,9,1
55,645.0,10,123.0,1,-1.0,0,1
36,321.0,15,160.0,2,-1.0,0,1
43,6.0,29,365.0,2,-1.0,0,1
58,0.0,25,176.0,5,-1.0,0,1
31,17.0,6,72.0,1,-1.0,0,1
40,432.0,2,101.0,1,-1.0,0,1
43,469.0,20,89.0,2,-1.0,0,1
38,1597.0,8,15.0,1,-1.0,0,1
34,293.0,21,162.0,3,-1.0,0,1
52,199.0,3,373.0,1,236.0,2,1
47,44.0,15,374.0,1,185.0,1,1
32,4.0,8,173.0,1,-1.0,0,1
55,1989.0,28,139.0,2,-1.0,0,1
54,-58.0,12,143.0,4,-1.0,0,1
45,-642.0,5,124.0,4,-1.0,0,1
33,4443.0,23,25.0,6,-1.0,0,1
40,129.0,12,464.0,3,-1.0,0,1
29,313.0,8,227.0,2,-1.0,0,1
37,9.0,14,165.0,1,-1.0,0,1
52,12.0,30,33.0,5,-1.0,0,1
47,794.0,17,564.0,2,-1.0,0,1
59,11.0,20,318.0,2,-1.0,0,1
39,860.0,8,312.0,1,-1.0,0,1
35,0.0,13,419.0,2,-1.0,0,1
35,0.0,21,199.0,3,-1.0,0,1
30,-208.0,13,108.0,1,-1.0,0,1
46,536.0,15,164.0,2,-1.0,0,1
46,0.0,5,109.0,1,-1.0,0,1
32,344.0,21,21.0,7,141.0,9,1
38,21963.0,18,70.0,2,-1.0,0,1
49,1697.0,19,236.0,1,-1.0,0,1
40,12409.0,19,140.0,1,99.0,2,1
45,7811.0,16,143.0,2,-1.0,0,1
31,2296.0,6,49.0,8,-1.0,0,1
36,-92.0,18,196.0,3,-1.0,0,1
36,613.0,7,86.0,2,-1.0,0,1
46,596.0,3,404.0,13,-1.0,0,1
45,660.0,14,329.0,2,-1.0,0,1
31,-68.0,26,293.0,4,-1.0,0,1
44,-237.0,10,73.0,1,-1.0,0,1
38,0.0,12,112.0,2,-1.0,0,1
